KEGGID,super_class,class,sub_class,family
C01190,Lipids,Glycolipids [Fig],Glycosphingolipids,Saccharolipids[SL]
C01290,Lipids,Glycolipids [Fig],Glycosphingolipids,Saccharolipids[SL]
C02686,Lipids,Glycolipids [Fig],Glycosphingolipids,Saccharolipids[SL]
C03692,Lipids,Glycolipids [Fig],Glyceroglycolipids,Saccharolipids[SL]
C04730,Lipids,Glycolipids [Fig],Glycosphingolipids,Saccharolipids[SL]
C04884,Lipids,Glycolipids [Fig],Glycosphingolipids,Saccharolipids[SL]
C04911,Lipids,Glycolipids [Fig],Glycosphingolipids,Saccharolipids[SL]
C06037,Lipids,Glycolipids [Fig],Glyceroglycolipids,Saccharolipids[SL]
C06125,Lipids,Glycolipids [Fig],Glycosphingolipids,Saccharolipids[SL]
C20825,Lipids,Glycolipids [Fig],Glyceroglycolipids,Saccharolipids[SL]
C00550,Lipids,Phospholipids [Fig],Phosphosphingolipids,Sphingolipids[SP]
C00157,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C00344,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C00350,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C00416,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C00958,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C01194,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C02737,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C04230,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C04756,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C05980,Lipids,Phospholipids [Fig],Glycerophospholipids,Glycerophospholipids[GP]
C00422,Lipids,Fats [Fig],Acylglycerols,Glycerolipids[GL]
C00641,Lipids,Fats [Fig],Acylglycerols,Glycerolipids[GL]
C01885,Lipids,Fats [Fig],Acylglycerols,Glycerolipids[GL]
C02112,Lipids,Fats [Fig],Acylglycerols,Glycerolipids[GL]
C06437,Lipids,Fats [Fig],Acylglycerols,Glycerolipids[GL]
C00022,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C00026,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C00033,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,Organic acids
C00036,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C00042,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,Organic acids
C00048,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C00058,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,Organic acids
C00109,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C00141,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C00149,Organic acids,Carboxylic acids [Fig],Hydroxycarboxylic acids,Organic acids
C00158,Organic acids,Carboxylic acids [Fig],Tricarboxylic acids,Organic acids
C00163,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,Organic acids
C00164,Organic acids,Carboxylic acids [Fig],3-Oxocarboxylic acids,Organic acids
C00186,Organic acids,Carboxylic acids [Fig],Hydroxycarboxylic acids,Organic acids
C00209,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,Organic acids
C00222,Organic acids,Carboxylic acids [Fig],3-Oxocarboxylic acids,Organic acids
C00232,Organic acids,Carboxylic acids [Fig],4-Oxocarboxylic acid,Organic acids
C00233,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C00246,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,Organic acids
C00311,Organic acids,Carboxylic acids [Fig],Tricarboxylic acids,Organic acids
C00322,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C00383,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,Organic acids
C00417,Organic acids,Carboxylic acids [Fig],Tricarboxylic acids,Organic acids
C00489,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,Organic acids
C00671,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C00803,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,Organic acids
C00902,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C00989,Organic acids,Carboxylic acids [Fig],Hydroxycarboxylic acids,Organic acids
C01013,Organic acids,Carboxylic acids [Fig],Hydroxycarboxylic acids,Organic acids
C01089,Organic acids,Carboxylic acids [Fig],Hydroxycarboxylic acids,Organic acids
C01585,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,Organic acids
C02341,Organic acids,Carboxylic acids [Fig],Tricarboxylic acids,Organic acids
C02656,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,Organic acids
C06104,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,Organic acids
C06255,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C06423,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,Organic acids
C08278,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,Organic acids
C16588,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C16589,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,Organic acids
C17714,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,Organic acids
C00002,Nucleic acids,Nucleotides [Fig],Ribonucleotides,Nucleic acids
C00008,Nucleic acids,Nucleotides [Fig],Ribonucleotides,Nucleic acids
C00015,Nucleic acids,Nucleotides [Fig],Ribonucleotides,Nucleic acids
C00020,Nucleic acids,Nucleotides [Fig],Ribonucleotides,Nucleic acids
C00035,Nucleic acids,Nucleotides [Fig],Ribonucleotides,Nucleic acids
C00044,Nucleic acids,Nucleotides [Fig],Ribonucleotides,Nucleic acids
C00055,Nucleic acids,Nucleotides [Fig],Ribonucleotides,Nucleic acids
C00063,Nucleic acids,Nucleotides [Fig],Ribonucleotides,Nucleic acids
C00075,Nucleic acids,Nucleotides [Fig],Ribonucleotides,Nucleic acids
C00105,Nucleic acids,Nucleotides [Fig],Ribonucleotides,Nucleic acids
C00106,Nucleic acids,Bases [Fig],Pyrimidines,Nucleic acids
C00112,Nucleic acids,Nucleotides [Fig],Ribonucleotides,Nucleic acids
C00131,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,Nucleic acids
C00144,Nucleic acids,Nucleotides [Fig],Ribonucleotides,Nucleic acids
C00147,Nucleic acids,Bases [Fig],Purines,Nucleic acids
C00178,Nucleic acids,Bases [Fig],Pyrimidines,Nucleic acids
C00206,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,Nucleic acids
C00212,Nucleic acids,Nucleosides [Fig],Ribonucleosides,Nucleic acids
C00214,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,Nucleic acids
C00239,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,Nucleic acids
C00242,Nucleic acids,Bases [Fig],Purines,Nucleic acids
C00286,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,Nucleic acids
C00299,Nucleic acids,Nucleosides [Fig],Ribonucleosides,Nucleic acids
C00330,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,Nucleic acids
C00360,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,Nucleic acids
C00361,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,Nucleic acids
C00362,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,Nucleic acids
C00363,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,Nucleic acids
C00364,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,Nucleic acids
C00365,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,Nucleic acids
C00380,Nucleic acids,Bases [Fig],Pyrimidines,Nucleic acids
C00387,Nucleic acids,Nucleosides [Fig],Ribonucleosides,Nucleic acids
C00458,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,Nucleic acids
C00459,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,Nucleic acids
C00460,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,Nucleic acids
C00475,Nucleic acids,Nucleosides [Fig],Ribonucleosides,Nucleic acids
C00526,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,Nucleic acids
C00559,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,Nucleic acids
C00575,Nucleic acids,Cyclic nucleotides [Fig],"3',5'-Cyclic nuclcleotides",Nucleic acids
C00705,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,Nucleic acids
C00881,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,Nucleic acids
C00941,Nucleic acids,Cyclic nucleotides [Fig],"3',5'-Cyclic nuclcleotides",Nucleic acids
C00942,Nucleic acids,Cyclic nucleotides [Fig],"3',5'-Cyclic nuclcleotides",Nucleic acids
C00943,Nucleic acids,Cyclic nucleotides [Fig],"3',5'-Cyclic nuclcleotides",Nucleic acids
C00968,Nucleic acids,Cyclic nucleotides [Fig],"3',5'-Cyclic nuclcleotides",Nucleic acids
C01346,Nucleic acids,Nucleotides [Fig],Deoxyribonucleotides,Nucleic acids
C02353,Nucleic acids,Cyclic nucleotides [Fig],"2',3'-Cyclic nucleotides",Nucleic acids
C02354,Nucleic acids,Cyclic nucleotides [Fig],"2',3'-Cyclic nucleotides",Nucleic acids
C02355,Nucleic acids,Cyclic nucleotides [Fig],"2',3'-Cyclic nucleotides",Nucleic acids
C02507,Nucleic acids,Cyclic nucleotides [Fig],"3',5'-Cyclic nuclcleotides",Nucleic acids
C06194,Nucleic acids,Cyclic nucleotides [Fig],"2',3'-Cyclic nucleotides",Nucleic acids
C00304,Antibiotics,Aminoglycosides [Fig],2-Deoxystreptamines,Antibiotics
C00413,Antibiotics,Aminoglycosides [Fig],Streptidines,Antibiotics
C00916,Antibiotics,beta-Lactams [Fig],Cephems,Antibiotics
C00918,Antibiotics,Others [Fig],Aromatic compounds,Antibiotics
C01457,Antibiotics,Polyketides and nonribosomal peptides [Fig],Macrolides,Antibiotics
C01661,Antibiotics,Polyketides and nonribosomal peptides [Fig],Other polyketides,Antibiotics
C01737,Antibiotics,Aminoglycosides [Fig],2-Deoxystreptamines,Antibiotics
C01895,Antibiotics,Polyketides and nonribosomal peptides [Fig],Non-ribosomal peptides,Antibiotics
C01912,Antibiotics,Polyketides and nonribosomal peptides [Fig],Macrolides,Antibiotics
C01918,Antibiotics,Aminoglycosides [Fig],2-Deoxystreptamines,Antibiotics
C01941,Antibiotics,beta-Lactams [Fig],Monobactams,Antibiotics
C01946,Antibiotics,Polyketides and nonribosomal peptides [Fig],Macrolides,Antibiotics
C02078,Antibiotics,Aminoglycosides [Fig],Actinamines,Antibiotics
C05079,Antibiotics,Quinolones [Fig],4-Quinolones,Antibiotics
C05080,Antibiotics,Others [Fig],Aromatic compounds,Antibiotics
C05551,Antibiotics,beta-Lactams [Fig],Penams,Antibiotics
C06454,Antibiotics,Others [Fig],Aliphatic compounds,Antibiotics
C06566,Antibiotics,beta-Lactams [Fig],Cephems,Antibiotics
C06570,Antibiotics,Polyketides and nonribosomal peptides [Fig],Tetracyclines,Antibiotics
C06571,Antibiotics,Polyketides and nonribosomal peptides [Fig],Tetracyclines,Antibiotics
C06574,Antibiotics,beta-Lactams [Fig],Penams,Antibiotics
C06662,Antibiotics,beta-Lactams [Fig],Clavams,Antibiotics
C06664,Antibiotics,beta-Lactams [Fig],Carbapenems,Antibiotics
C06665,Antibiotics,beta-Lactams [Fig],Carbapenems,Antibiotics
C06681,Antibiotics,Others [Fig],Quinones,Antibiotics
C06682,Antibiotics,Others [Fig],Amino acid derivatives,Antibiotics
C06683,Antibiotics,beta-Lactams [Fig],Cephems,Antibiotics
C06684,Antibiotics,Polyketides and nonribosomal peptides [Fig],Non-ribosomal peptides,Antibiotics
C06685,Antibiotics,Others [Fig],Cycloalkane derivatives,Antibiotics
C06686,Antibiotics,Polyketides and nonribosomal peptides [Fig],Other polyketides,Antibiotics
C06687,Antibiotics,Quinolones [Fig],Fluoroquinolones,Antibiotics
C06688,Antibiotics,Polyketides and nonribosomal peptides [Fig],Ansamycins,Antibiotics
C06689,Antibiotics,Polyketides and nonribosomal peptides [Fig],Non-ribosomal peptides,Antibiotics
C06690,Antibiotics,Polyketides and nonribosomal peptides [Fig],Macrolides,Antibiotics
C06691,Antibiotics,Polyketides and nonribosomal peptides [Fig],Other polyketides,Antibiotics
C06692,Antibiotics,Others [Fig],Peptide nucleosides,Antibiotics
C06693,Antibiotics,Polyketides and nonribosomal peptides [Fig],Other polyketides,Antibiotics
C06695,Antibiotics,Others [Fig],Cyclic lactones,Antibiotics
C06763,Antibiotics,Others [Fig],Pure sugars,Antibiotics
C06764,Antibiotics,Polyketides and nonribosomal peptides [Fig],Other polyketides,Antibiotics
C06765,Antibiotics,Others [Fig],Glycolipids,Antibiotics
C06770,Antibiotics,Polyketides and nonribosomal peptides [Fig],Non-ribosomal peptides,Antibiotics
C06840,Antibiotics,beta-Lactams [Fig],Monobactams,Antibiotics
C06880,Antibiotics,beta-Lactams [Fig],Cephems,Antibiotics
C11222,Antibiotics,Polyketides and nonribosomal peptides [Fig],Ansamycins,Antibiotics
C11612,Antibiotics,Polyketides and nonribosomal peptides [Fig],Non-ribosomal peptides,Antibiotics
C12046,Antibiotics,Polyketides and nonribosomal peptides [Fig],Non-ribosomal peptides,Antibiotics
C12247,Antibiotics,Polyketides and nonribosomal peptides [Fig],Ansamycins,Antibiotics
C15482,Antibiotics,Polyketides and nonribosomal peptides [Fig],Non-ribosomal peptides,Antibiotics
C17585,Antibiotics,Aminoglycosides [Fig],2-Deoxystreptamines,Antibiotics
C00306,Hormones and transmitters,Peptide hormones,Bradykinin [KO:K03898],Hormones and transmitters
C00547,Hormones and transmitters,Other hormones,Adrenalines,Hormones and transmitters
C00723,Hormones and transmitters,Peptide hormones,Insulin [KO:K04526],Hormones and transmitters
C00746,Hormones and transmitters,Peptide hormones,Oxytocin [KO:K05243],Hormones and transmitters
C00788,Hormones and transmitters,Other hormones,Adrenalines,Hormones and transmitters
C00873,Hormones and transmitters,Peptide hormones,Angiotensin [KO:K09821],Hormones and transmitters
C01124,Hormones and transmitters,Steroid hormones,Mineralocorticoids,Hormones and transmitters
C01176,Hormones and transmitters,Steroid hormones,Progestagens,Hormones and transmitters
C01501,Hormones and transmitters,Peptide hormones,Glucagon [KO:K05259],Hormones and transmitters
C01574,Hormones and transmitters,Peptide hormones,Dynorphin [KO:K15840],Hormones and transmitters
C01598,Hormones and transmitters,Other hormones,Melatonin,Hormones and transmitters
C01673,Hormones and transmitters,Steroid hormones,Others,Hormones and transmitters
C01996,Hormones and transmitters,Neurotransmitters [Fig],Acetylcholine,Hormones and transmitters
C02017,Hormones and transmitters,Peptide hormones,Corticotropin [KO:K05228],Hormones and transmitters
C02135,Hormones and transmitters,Peptide hormones,Angiotensin [KO:K09821],Hormones and transmitters
C02210,Hormones and transmitters,Peptide hormones,beta-Endorphin [KO:K05228],Hormones and transmitters
C02538,Hormones and transmitters,Steroid hormones,Estrogens,Hormones and transmitters
C02758,Hormones and transmitters,Peptide hormones,Melanotropin [KO:K05228],Hormones and transmitters
C03958,Hormones and transmitters,Peptide hormones,Thyrotropin-releasing hormone [KO:K05253],Hormones and transmitters
C04555,Hormones and transmitters,Steroid hormones,Androgens,Hormones and transmitters
C05138,Hormones and transmitters,Steroid hormones,Progestagens,Hormones and transmitters
C05291,Hormones and transmitters,Steroid hormones,Androgens,Hormones and transmitters
C05294,Hormones and transmitters,Steroid hormones,Androgens,Hormones and transmitters
C05300,Hormones and transmitters,Steroid hormones,Estrogens,Hormones and transmitters
C05470,Hormones and transmitters,Steroid hormones,Glucocorticoids,Hormones and transmitters
C05488,Hormones and transmitters,Steroid hormones,Glucocorticoids,Hormones and transmitters
C05490,Hormones and transmitters,Steroid hormones,Mineralocorticoids,Hormones and transmitters
C05497,Hormones and transmitters,Steroid hormones,Glucocorticoids,Hormones and transmitters
C06865,Hormones and transmitters,Peptide hormones,Calcitonin [KO:K12332],Hormones and transmitters
C07607,Hormones and transmitters,Peptide hormones,Gonadotropin-releasing hormone [KO:K05252],Hormones and transmitters
C11684,Hormones and transmitters,Peptide hormones,Enkephalin [KO:K18832],Hormones and transmitters
C13523,Hormones and transmitters,Peptide hormones,Secretin [KO:K05263],Hormones and transmitters
C13662,Hormones and transmitters,Peptide hormones,Arginine vasopressin [KO:K05242],Hormones and transmitters
C15848,Hormones and transmitters,Peptide hormones,Angiotensin [KO:K09821],Hormones and transmitters
C15849,Hormones and transmitters,Peptide hormones,Angiotensin [KO:K09821],Hormones and transmitters
C15906,Hormones and transmitters,Peptide hormones,Incretin [KO:K05258 K05259],Hormones and transmitters
C16003,Hormones and transmitters,Peptide hormones,Atrial natriuretic peptide [KO:K12334],Hormones and transmitters
C16004,Hormones and transmitters,Peptide hormones,Brain natriuretic peptide [KO:K12335],Hormones and transmitters
C16005,Hormones and transmitters,Peptide hormones,C-Type natriuretic peptide [KO:K12336],Hormones and transmitters
C16010,Hormones and transmitters,Peptide hormones,Endothelin [KO:K05227],Hormones and transmitters
C16012,Hormones and transmitters,Peptide hormones,Endothelin [KO:K05227],Hormones and transmitters
C16013,Hormones and transmitters,Peptide hormones,Endothelin [KO:K05227],Hormones and transmitters
C16021,Hormones and transmitters,Peptide hormones,Somatostatin [KO:K05237],Hormones and transmitters
C16022,Hormones and transmitters,Peptide hormones,Somatostatin [KO:K05237],Hormones and transmitters
C16025,Hormones and transmitters,Peptide hormones,Ghrelin [KO:K05254],Hormones and transmitters
C16030,Hormones and transmitters,Peptide hormones,Melanin-concentrating hormone [KO:K05229],Hormones and transmitters
C16041,Hormones and transmitters,Peptide hormones,Enkephalin [KO:K18832],Hormones and transmitters
C16047,Hormones and transmitters,Peptide hormones,Motilin [KO:K05265],Hormones and transmitters
C16048,Hormones and transmitters,Peptide hormones,Incretin [KO:K05258 K05259],Hormones and transmitters
C16051,Hormones and transmitters,Peptide hormones,Parathyroid hormone [KO:K05261],Hormones and transmitters
C16065,Hormones and transmitters,Peptide hormones,Thymosin alpha [KO:K13784],Hormones and transmitters
C16066,Hormones and transmitters,Peptide hormones,Thymosin beta-4 [KO:K05764],Hormones and transmitters
C16067,Hormones and transmitters,Peptide hormones,Thymosin beta-10 [KO:K13785],Hormones and transmitters
C16079,Hormones and transmitters,Peptide hormones,Corticotropin-releasing hormone [KO:K05256],Hormones and transmitters
C16084,Hormones and transmitters,Peptide hormones,Gonadotropin-releasing hormone [KO:K05252],Hormones and transmitters
C16085,Hormones and transmitters,Peptide hormones,Growth hormone-releasing hormone [KO:K05260],Hormones and transmitters
C16086,Hormones and transmitters,Peptide hormones,Prolactin-releasing peptide [KO:K05269],Hormones and transmitters
C16087,Hormones and transmitters,Peptide hormones,Prolactin-releasing peptide [KO:K05269],Hormones and transmitters
C16113,Hormones and transmitters,Peptide hormones,Gastrin [KO:K13768],Hormones and transmitters
C16114,Hormones and transmitters,Peptide hormones,Cholecystokinin [KO:K05226],Hormones and transmitters
C16115,Hormones and transmitters,Peptide hormones,Gastrin-releasing peptide [KO:K05224],Hormones and transmitters
C16118,Hormones and transmitters,Peptide hormones,Peptide YY [KO:K05233],Hormones and transmitters
C16130,Hormones and transmitters,Peptide hormones,Amylin [KO:K08039],Hormones and transmitters
C16131,Hormones and transmitters,Peptide hormones,Insulin-like growth factor 1 [KO:K05459],Hormones and transmitters
C16132,Hormones and transmitters,Peptide hormones,Insulin-like growth factor 2 [KO:K13769],Hormones and transmitters
C16133,Hormones and transmitters,Peptide hormones,Cholecystokinin [KO:K05226],Hormones and transmitters
C16135,Hormones and transmitters,Peptide hormones,Dynorphin [KO:K15840],Hormones and transmitters
C16136,Hormones and transmitters,Peptide hormones,Melanotropin [KO:K05228],Hormones and transmitters
C16137,Hormones and transmitters,Peptide hormones,Melanotropin [KO:K05228],Hormones and transmitters
C18181,Hormones and transmitters,Peptide hormones,Growth hormone [KO:K05438],Hormones and transmitters
C18182,Hormones and transmitters,Peptide hormones,Thyroid stimulating hormone [KO:K05251 K08522],Hormones and transmitters
C18183,Hormones and transmitters,Peptide hormones,Luteinizing hormone [KO:K08521 K08522],Hormones and transmitters
C18184,Hormones and transmitters,Peptide hormones,Follicle stimulating hormone [KO:K05250 K08522],Hormones and transmitters
C18185,Hormones and transmitters,Peptide hormones,Chorionic gonadotropin [KO:K10045 K08522],Hormones and transmitters
C18186,Hormones and transmitters,Peptide hormones,Gastrin [KO:K13768],Hormones and transmitters
C18187,Hormones and transmitters,Peptide hormones,Gastrin [KO:K13768],Hormones and transmitters
C18188,Hormones and transmitters,Peptide hormones,Leptin [KO:K05424],Hormones and transmitters
C18189,Hormones and transmitters,Peptide hormones,Adiponectin [KO:K07296],Hormones and transmitters
C18190,Hormones and transmitters,Peptide hormones,Resistin [KO:K13438],Hormones and transmitters
C18200,Hormones and transmitters,Peptide hormones,Erythropoietin [KO:K05437],Hormones and transmitters
C18201,Hormones and transmitters,Peptide hormones,Prolactin [KO:K05439],Hormones and transmitters
C22548,Hormones and transmitters,Steroid hormones,Estrogens,Hormones and transmitters
C00187,Steroids,27-Carbon atoms,Cholestane derivatives [Fig],Sterol lipids[ST]
C00280,Steroids,19-Carbon atoms,Androstane derivatives [Fig],Sterol lipids[ST]
C00410,Steroids,21-Carbon atoms,Pregnane derivatives [Fig],Sterol lipids[ST]
C00468,Steroids,18-Carbon atoms,Estrane derivatives [Fig],Sterol lipids[ST]
C00477,Steroids,27-Carbon atoms,Cholestane derivatives [Fig],Sterol lipids[ST]
C00523,Steroids,19-Carbon atoms,Androstane derivatives [Fig],Sterol lipids[ST]
C00535,Steroids,19-Carbon atoms,Androstane derivatives [Fig],Sterol lipids[ST]
C00695,Steroids,24-Carbon atoms,Cholane derivatives [Fig],Sterol lipids[ST]
C00735,Steroids,21-Carbon atoms,Pregnane derivatives [Fig],Sterol lipids[ST]
C00762,Steroids,21-Carbon atoms,Pregnane derivatives [Fig],Sterol lipids[ST]
C00951,Steroids,18-Carbon atoms,Estrane derivatives [Fig],Sterol lipids[ST]
C01164,Steroids,27-Carbon atoms,Cholestane derivatives [Fig],Sterol lipids[ST]
C01227,Steroids,19-Carbon atoms,Androstane derivatives [Fig],Sterol lipids[ST]
C01443,Steroids,23-Carbon atoms,Cardanolide derivatives [Fig],Sterol lipids[ST]
C01694,Steroids,28-Carbon atoms,Ergostane derivatives [Fig],Sterol lipids[ST]
C01780,Steroids,21-Carbon atoms,Pregnane derivatives [Fig],Sterol lipids[ST]
C01789,Steroids,28-Carbon atoms,Campestane derivatives [Fig],Sterol lipids[ST]
C01802,Steroids,27-Carbon atoms,Cholestane derivatives [Fig],Sterol lipids[ST]
C01921,Steroids,24-Carbon atoms,Cholane derivatives [Fig],Sterol lipids[ST]
C01953,Steroids,21-Carbon atoms,Pregnane derivatives [Fig],Sterol lipids[ST]
C02140,Steroids,21-Carbon atoms,Pregnane derivatives [Fig],Sterol lipids[ST]
C02528,Steroids,24-Carbon atoms,Cholane derivatives [Fig],Sterol lipids[ST]
C02537,Steroids,18-Carbon atoms,Estrane derivatives [Fig],Sterol lipids[ST]
C03070,Steroids,24-Carbon atoms,Cholane derivatives [Fig],Sterol lipids[ST]
C03205,Steroids,21-Carbon atoms,Pregnane derivatives [Fig],Sterol lipids[ST]
C03772,Steroids,19-Carbon atoms,Androstane derivatives [Fig],Sterol lipids[ST]
C03917,Steroids,19-Carbon atoms,Androstane derivatives [Fig],Sterol lipids[ST]
C03935,Steroids,18-Carbon atoms,Estrane derivatives [Fig],Sterol lipids[ST]
C03963,Steroids,27-Carbon atoms,Spirostan derivatives [Fig],Sterol lipids[ST]
C03990,Steroids,24-Carbon atoms,Cholane derivatives [Fig],Sterol lipids[ST]
C04295,Steroids,19-Carbon atoms,Androstane derivatives [Fig],Sterol lipids[ST]
C04373,Steroids,19-Carbon atoms,Androstane derivatives [Fig],Sterol lipids[ST]
C04483,Steroids,24-Carbon atoms,Cholane derivatives [Fig],Sterol lipids[ST]
C04715,Steroids,27-Carbon atoms,Furostan derivatives [Fig],Sterol lipids[ST]
C05122,Steroids,24-Carbon atoms,Cholane derivatives [Fig],Sterol lipids[ST]
C05141,Steroids,18-Carbon atoms,Estrane derivatives [Fig],Sterol lipids[ST]
C05285,Steroids,19-Carbon atoms,Androstane derivatives [Fig],Sterol lipids[ST]
C05301,Steroids,18-Carbon atoms,Estrane derivatives [Fig],Sterol lipids[ST]
C05302,Steroids,18-Carbon atoms,Estrane derivatives [Fig],Sterol lipids[ST]
C05442,Steroids,29-Carbon atoms,Stigmastane derivatives [Fig],Sterol lipids[ST]
C06694,Antibiotics,Others [Fig],Steroids,Sterol lipids[ST]
C06955,Steroids,23-Carbon atoms,Cardanolide derivatives [Fig],Sterol lipids[ST]
C06956,Steroids,23-Carbon atoms,Cardanolide derivatives [Fig],Sterol lipids[ST]
C07632,Steroids,19-Carbon atoms,Androstane derivatives [Fig],Sterol lipids[ST]
C07880,Steroids,24-Carbon atoms,Cholane derivatives [Fig],Sterol lipids[ST]
C08814,Steroids,28-Carbon atoms,Campestane derivatives [Fig],Sterol lipids[ST]
C08817,Steroids,29-Carbon atoms,Stigmastane derivatives [Fig],Sterol lipids[ST]
C08836,Steroids,29-Carbon atoms,Poriferastane derivatives [Fig],Sterol lipids[ST]
C08859,Steroids,23-Carbon atoms,Cardanolide derivatives [Fig],Sterol lipids[ST]
C08866,Steroids,23-Carbon atoms,Cardanolide derivatives [Fig],Sterol lipids[ST]
C08868,Steroids,24-Carbon atoms,Bufanolide derivatives [Fig],Sterol lipids[ST]
C08876,Steroids,23-Carbon atoms,Cardanolide derivatives [Fig],Sterol lipids[ST]
C08880,Steroids,24-Carbon atoms,Bufanolide derivatives [Fig],Sterol lipids[ST]
C08896,Steroids,27-Carbon atoms,Spirostan derivatives [Fig],Sterol lipids[ST]
C08898,Steroids,27-Carbon atoms,Spirostan derivatives [Fig],Sterol lipids[ST]
C08899,Steroids,27-Carbon atoms,Spirostan derivatives [Fig],Sterol lipids[ST]
C08913,Steroids,27-Carbon atoms,Spirostan derivatives [Fig],Sterol lipids[ST]
C08914,Steroids,27-Carbon atoms,Spirostan derivatives [Fig],Sterol lipids[ST]
C12816,Steroids,24-Carbon atoms,Bufanolide derivatives [Fig],Sterol lipids[ST]
C14210,Steroids,19-Carbon atoms,Androstane derivatives [Fig],Sterol lipids[ST]
C14303,Steroids,18-Carbon atoms,Estrane derivatives [Fig],Sterol lipids[ST]
C14392,Steroids,18-Carbon atoms,Estrane derivatives [Fig],Sterol lipids[ST]
C15337,Steroids,27-Carbon atoms,Cholestane derivatives [Fig],Sterol lipids[ST]
C15515,Steroids,24-Carbon atoms,Cholane derivatives [Fig],Sterol lipids[ST]
C15517,Steroids,24-Carbon atoms,Cholane derivatives [Fig],Sterol lipids[ST]
C15638,Steroids,19-Carbon atoms,Androstane derivatives [Fig],Sterol lipids[ST]
C15787,Steroids,28-Carbon atoms,Campestane derivatives [Fig],Sterol lipids[ST]
C16922,Steroids,24-Carbon atoms,Bufanolide derivatives [Fig],Sterol lipids[ST]
C16923,Steroids,24-Carbon atoms,Bufanolide derivatives [Fig],Sterol lipids[ST]
C16931,Steroids,24-Carbon atoms,Bufanolide derivatives [Fig],Sterol lipids[ST]
C16932,Steroids,24-Carbon atoms,Bufanolide derivatives [Fig],Sterol lipids[ST]
C16962,Steroids,24-Carbon atoms,Bufanolide derivatives [Fig],Sterol lipids[ST]
